driver_id,taiwan_code,provenance_status,as_of_utc,source_count,source_summary,counter_evidence,source_urls
AI_SERVER_SHIPMENTS,2317,SOURCE_BACKED,2026-09-06T01:21:00Z,1,"Foxconn Q2 2026 results state sustained AI server rack volume growth, rising AI-rack market share, Vera Rubin rack mass production in Q3, high-double-digit Q3 rack shipment growth and full-year AI rack shipments expected to more than double.","AI products are high-value and complex; gross margin remains low at group level, so shipment growth does not guarantee proportional EPS sensitivity.","https://www.foxconn.com/en-us/press-center/press-releases/latest-news/2095"
AI_SERVER_RACK_BUILD,2376,SOURCE_BACKED,2026-09-06T01:21:00Z,2,"GIGABYTE publicly markets rack-scale AI infrastructure/GIGAPOD and management reported 2026 AI business maintaining triple-digit growth with global server-capacity expansion; this supports a current economic edge to AI rack/system buildout.","Product/platform exposure is clear, but customer concentration, accelerator allocation and mix/margin sensitivity still require monitoring.","https://www.gigabyte.com/tw/press/news/2368|https://money.udn.com/money/amp/story/5612/9505519"
NAND_STORAGE_CYCLE,4967,SOURCE_BACKED,2026-09-06T01:21:00Z,1,"TEAMGROUP Q2 2026 results identify memory/storage modules as the business, report record H1 earnings, stable industrial/SI orders, ongoing memory supply gaps and a strategy to increase enterprise/industrial high-value product shipments.","High memory prices can weaken consumer demand; inventory gains and channel pricing can reverse if the supply-demand gap closes faster than expected.","https://www.teamgroupinc.com/tw/news-detail/2026-08-03/"
AI_SERVER_SHIPMENTS,6669,SOURCE_BACKED,2026-09-06T08:00:00Z,2,"Wiwynn is a hyperscale data-center and cloud-infrastructure ODM. Its 2026 Q1 disclosure says server rack sales increased month over month and full-year shipment volume was still expected to grow at a double-digit rate; its 2026 annual report states its products had shipped to more than 750 hyperscale data centers and that it held nearly 30% of global ODM-Direct server shipments in 2025. This is direct current economic exposure to the AI-server shipment cycle.","Customer concentration and procurement-model changes can distort reported revenue versus physical shipment volume; strong AI demand therefore does not map one-for-one into revenue growth.","https://www.wiwynn.com/zh/news/wiwynn-reports-first-quarter-2026-financial-results?hs_amp=true|https://www.wiwynn.com/hubfs/Investors/Shareholders_Services/2026_Annual_Report_EN.pdf"
AI_SERVER_SHIPMENTS,3231,SOURCE_BACKED,2026-09-06T08:00:00Z,2,"Wistron explicitly approved facility upgrades to support expansion of AI-related businesses and machinery/equipment spending to expand AI-server manufacturing capacity in Mexico; its 1H26 results also approved additional Taiwan capex primarily for machinery and equipment supporting future capacity expansion. This is direct manufacturing exposure to the AI-server shipment cycle.","Capacity expansion can precede realized shipments and margins; execution, customer mix and accelerator allocation remain material risks.","https://www.wistron.com/en/Newsroom/2026-03-12|https://www.wistron.com/en/Newsroom/2026-08-04"
POWER_ELECTRONICS_CAPEX,2308,SOURCE_BACKED,2026-09-06T08:00:00Z,3,"Delta explicitly positions itself from grid to chip for AI factories and data centers, with 800 VDC in-row power racks, UPS, DC/DC conversion, liquid cooling and microgrid products. Its chairman statement says rising AI compute density is driving power-delivery requirements and that liquid-cooling became a key growth driver. These disclosures establish a direct current economic edge to power-electronics and data-center electrical capex.","Product exposure is broad and includes cooling/networking as well as power; deployment timing of next-generation 800 VDC architecture can shift, so not all announced products translate immediately into recognized revenue.","https://www.deltaww.com/en-US/investors/chairman-statement|https://www.deltaww.com/en-US/press/40273|https://www.deltaww.com/en-US/landing/Computex-2026"
POWER_ELECTRONICS_CAPEX,1519,SOURCE_BACKED,2026-09-06T08:00:00Z,2,"Fortune Electric's investor materials identify transformers, switchboards and distribution equipment as its core revenue categories. In August 2026 the company said AIDC, U.S. infrastructure and Taiwan grid investment were current growth drivers, with AIDC backlog around NT$22 billion and overall order visibility extending to 2029. This is a direct transformer/grid-equipment edge to the active power-capex cycle.","Transformer component shortages and long delivery lead times can delay revenue recognition even when demand and backlog are strong.","https://www.fortune.com.tw/tw/Investor_information.aspx|https://gfemobile.cnyes.com/news/id/6568409"
POWER_ELECTRONICS_CAPEX,1513,SOURCE_BACKED,2026-09-06T08:00:00Z,2,"Chung-Hsin Electric's April 2026 investor briefing reported NT$43.1 billion of backlog and stated that Taiwan grid reinforcement, semiconductor expansion and international AI/IDC buildouts were driving GIS demand. Management also described high current market demand and continued order intake. This is direct grid-equipment exposure to the power-capex cycle.","The company has multiple business lines and overseas exposure remains limited; backlog conversion and project timing can make earnings sensitivity lag the capex cycle.","https://money.udn.com/money/amp/story/5612/9460327|https://nstock.tw/api/v2/stock-financial-report/report?type=0&url=https%3A%2F%2Fmopsov.twse.com.tw%2Fnas%2FSTR%2F151320260423M001.pdf"
DRY_BULK_FREIGHT,2606,SOURCE_BACKED,2026-09-06T08:00:00Z,2,"U-Ming is directly exposed through Capesize, Panamax, Post-Panamax and Ultramax dry-bulk vessels. At its 2026 AGM the company said dry-bulk fundamentals were improving, Capesize rates were leading, tonne-mile demand from Simandou/Guinea exports was rising and effective supply remained constrained; it also continued expanding its dry-bulk fleet. This is a direct current economic edge to the dry-bulk freight cycle.","Nominal fleet supply growth and macro/trade-policy weakness remain counter-risks, and U-Ming is diversifying into LNG and other shipping segments, reducing pure-play exposure.","https://www.uming.com.tw/news/News_detail.aspx?ID=PRE0153|https://www.uming.com.tw/news/News_detail.aspx?ID=PRE0152"
DRY_BULK_FREIGHT,2637,SOURCE_BACKED,2026-09-06T08:00:00Z,3,"Wisdom Marine identifies itself as a dry-bulk shipping company with a large diversified bulk fleet and predominantly charter-hire revenue. Its September 3 monthly earnings release showed year-to-date revenue +33.66%, operating profit +206.12% and month-end BDI 3,186, providing current company-level evidence of economic sensitivity to the dry-bulk freight environment.","A large share of the fleet is on time charter, which can damp or delay spot-rate transmission; dry-dock schedules and JPY-linked financing also affect earnings independently of freight rates.","https://www.wisdomlines.com.tw/ir|https://www.wisdomlines.com.tw/news/2609003800303|https://www.wisdomlines.com.tw/storage/uploads/general_meeting/20260522%20Annual%20Report_2025_EN.pdf"
CONTAINER_FREIGHT,2609,SOURCE_BACKED,2026-09-06T08:15:00Z,2,"Yang Ming's August 2026 H1 results directly tie Q2 earnings improvement to Asia-Europe and Transpacific booking demand and higher freight-rate levels, and describe cargo demand, fleet deployment and capacity as key Q3 operating variables. This establishes direct current economic exposure to the container-freight cycle.","Yang Ming also cites global fleet-capacity growth exceeding container-demand growth and geopolitical/tariff uncertainty, so stronger spot rates may not persist uniformly across routes.","https://e-solution.yangming.com/News/press_release/PressContent.aspx?BulletinType=PressRelease&localSiteD=&uid=16068|https://esg.yangming.com/investors/information/investor-conference/"
