global_theme,taiwan_code,taiwan_name_seed,economic_role,linkage_tier,linkage_confidence,link_mechanism,evidence_required,enabled
AI_Server,2382,廣達,server_odm,DIRECT,0.95,AI server ODM demand and shipment cycle,customer mix / server backlog / shipment evidence,1
AI_Server,3231,緯創,server_odm,DIRECT,0.95,AI server ODM demand and shipment cycle,customer mix / server backlog / shipment evidence,1
AI_Server,6669,緯穎,server_odm,DIRECT,0.98,Hyperscale AI server demand and rack-level deployments,customer capex / backlog / shipment evidence,1
AI_Server,2317,鴻海,server_odm_and_manufacturing,STRONG,0.88,AI server manufacturing and rack integration,AI server revenue / customer programs,1
AI_Server,2356,英業達,server_odm,STRONG,0.82,Server ODM demand transmission,AI server mix / orders / shipments,1
AI_Server,2376,技嘉,server_systems,STRONG,0.82,Enterprise and AI server systems,server product mix / revenue contribution,1
AI_Server,3693,營邦,server_chassis,STRONG,0.78,Server chassis and rack infrastructure demand,AI server customer / product evidence,1
AI_Server,3017,奇鋐,thermal_management,STRONG,0.82,AI server thermal density drives cooling demand,AI cooling revenue / customer programs,1
AI_Server,3324,雙鴻,thermal_management,STRONG,0.82,AI server thermal density drives cooling demand,liquid cooling / server revenue evidence,1
AI_Server,6230,尼得科超眾,thermal_management,STRONG,0.76,Server thermal management demand,server cooling revenue evidence,1
AI_Server,8996,高力,liquid_cooling_heat_exchange,STRONG,0.78,AI liquid cooling heat-exchanger demand,AI data-center cooling orders,1
AI_Infrastructure,3017,奇鋐,thermal_management,STRONG,0.80,Data-center thermal infrastructure,AI cooling revenue / order evidence,1
AI_Infrastructure,3324,雙鴻,thermal_management,STRONG,0.80,Data-center thermal infrastructure,liquid cooling / server revenue evidence,1
AI_Infrastructure,8996,高力,liquid_cooling_heat_exchange,STRONG,0.82,Data-center heat exchange and liquid cooling,AI data-center cooling orders,1
AI_Infrastructure,2308,台達電,power_and_thermal_infrastructure,STRONG,0.88,Data-center power and thermal infrastructure,data-center power / cooling revenue evidence,1
AI_Infrastructure,6409,旭隼,ups_power,STRONG,0.78,Data-center UPS and power continuity,UPS demand / data-center exposure,1
AI_Networking,2345,智邦,network_switch,DIRECT,0.95,AI cluster networking and high-speed switch demand,800G/1.6T orders / hyperscaler exposure,1
AI_Networking,6285,啟碁,networking_equipment,STRONG,0.76,Enterprise and data-center networking demand,product / customer exposure evidence,1
AI_Networking,5388,中磊,networking_equipment,STRONG,0.72,Network equipment demand,product / customer exposure evidence,1
AI_Networking,3596,智易,networking_equipment,STRONG,0.72,Network equipment demand,product / customer exposure evidence,1
AI_Networking,3704,合勤控,networking_equipment,SECOND_ORDER,0.62,Networking demand cycle,enterprise / telecom demand evidence,1
Memory,2408,南亞科,dram_manufacturer,DIRECT,0.98,DRAM pricing and demand cycle,DRAM ASP / bit shipments / inventory,1
Memory,2344,華邦電,memory_manufacturer,DIRECT,0.95,Specialty DRAM and NOR memory cycle,memory ASP / utilization / inventory,1
Memory,2337,旺宏,memory_manufacturer,DIRECT,0.92,NOR and NAND memory pricing cycle,memory ASP / utilization / inventory,1
Memory,3006,晶豪科,memory_ic_design,DIRECT,0.92,DRAM / Flash IC demand and pricing,memory product revenue / ASP evidence,1
Memory,5351,鈺創,memory_ic_design,STRONG,0.84,Memory IC cycle,memory revenue / ASP evidence,1
Memory,8299,群聯,memory_controller,DIRECT,0.92,NAND controller and storage demand cycle,NAND pricing / controller shipments,1
Memory,3260,威剛,memory_module,DIRECT,0.90,DRAM and NAND module pricing cycle,inventory gains / module ASP / demand,1
Memory,4967,十銓,memory_module,DIRECT,0.88,DRAM and NAND module pricing cycle,inventory / module ASP / demand,1
Memory,5289,宜鼎,memory_module_industrial,DIRECT,0.86,Industrial memory and storage demand,industrial memory revenue / ASP,1
Foundry,2330,台積電,foundry,DIRECT,0.99,Advanced-node and foundry demand cycle,utilization / wafer pricing / capex,1
Foundry,2303,聯電,foundry,DIRECT,0.95,Mature-node foundry cycle,utilization / wafer pricing / demand,1
Foundry,5347,世界,foundry,DIRECT,0.92,Mature-node specialty foundry cycle,utilization / ASP / demand,1
Foundry,6770,力積電,foundry,DIRECT,0.92,Memory and mature-node foundry cycle,utilization / pricing / customer demand,1
Semiconductor_Equipment,3131,弘塑,wet_process_equipment,STRONG,0.85,Advanced packaging and fab equipment capex,order backlog / advanced packaging exposure,1
Semiconductor_Equipment,3583,辛耘,semicap_equipment,STRONG,0.84,Foundry and advanced packaging capex,order backlog / customer capex,1
Semiconductor_Equipment,6187,萬潤,semicap_equipment,STRONG,0.82,Advanced packaging equipment demand,AI/HBM packaging orders,1
Semiconductor_Equipment,6640,均華,packaging_equipment,STRONG,0.82,Advanced packaging equipment demand,customer orders / advanced packaging mix,1
Semiconductor_Equipment,6223,旺矽,probe_and_test,STRONG,0.82,Advanced chip probing and test demand,AI/HPC probe-card orders,1
Semiconductor_Equipment,6510,精測,test_interface,STRONG,0.78,Advanced chip test interface demand,AI/HPC test demand / customer mix,1
Semiconductor_Equipment,3680,家登,semicap_consumables,STRONG,0.78,Advanced-node fab consumables and EUV ecosystem,customer qualification / capacity demand,1
MLCC,2327,國巨,passive_components,DIRECT,0.95,MLCC and passive component pricing and demand,utilization / price / order evidence,1
MLCC,2492,華新科,passive_components,DIRECT,0.92,MLCC and passive component cycle,utilization / price / order evidence,1
MLCC,3026,禾伸堂,passive_components,STRONG,0.82,MLCC and passive component cycle,MLCC revenue / order evidence,1
Power_Grid,1519,華城,transformer_grid,DIRECT,0.96,Grid transformer and substation capex,order backlog / US grid exposure,1
Power_Grid,1513,中興電,grid_equipment,DIRECT,0.94,Grid and substation capex,order backlog / utility capex exposure,1
Power_Grid,1503,士電,grid_equipment,STRONG,0.88,Transformer and electrical equipment capex,order backlog / grid exposure,1
Power_Grid,1609,大亞,cable_and_grid,STRONG,0.82,Power cable and grid build-out,cable orders / copper pass-through / grid projects,1
Power_Grid,1608,華榮,cable_and_grid,STRONG,0.78,Power cable and grid build-out,cable orders / grid projects,1
Power,1519,華城,transformer_grid,STRONG,0.86,Power demand drives transformer and grid capex,order backlog / utility projects,1
Power,1513,中興電,grid_equipment,STRONG,0.84,Power demand drives substation and grid capex,order backlog / utility projects,1
Power,2308,台達電,power_electronics,STRONG,0.82,Power demand and data-center power electronics,data-center power revenue / orders,1
Nuclear_Power,1519,華城,grid_equipment,SPECULATIVE,0.35,Nuclear build-out may create secondary grid equipment demand,project-specific evidence required,1
Nuclear_Power,1513,中興電,grid_equipment,SPECULATIVE,0.35,Nuclear build-out may create secondary grid equipment demand,project-specific evidence required,1
Shipping,2603,長榮,container_shipping,DIRECT,0.95,Container freight rate and capacity cycle,freight rates / load factor / capacity,1
Shipping,2609,陽明,container_shipping,DIRECT,0.95,Container freight rate and capacity cycle,freight rates / load factor / capacity,1
Shipping,2615,萬海,container_shipping,DIRECT,0.95,Container freight rate and capacity cycle,freight rates / load factor / capacity,1
Shipping,2605,新興,dry_bulk_shipping,DIRECT,0.90,Dry-bulk freight and vessel supply cycle,BDI/Capesize / fleet supply / charter rates,1
Shipping,2606,裕民,dry_bulk_shipping,DIRECT,0.92,Dry-bulk freight and vessel supply cycle,BDI/Capesize / fleet supply / charter rates,1
Shipping,2617,台航,dry_bulk_shipping,DIRECT,0.90,Dry-bulk freight and vessel supply cycle,BDI/Capesize / fleet supply / charter rates,1
Shipping,2637,慧洋-KY,dry_bulk_shipping,DIRECT,0.92,Dry-bulk freight and vessel supply cycle,BDI/Capesize / fleet supply / charter rates,1
Copper,1609,大亞,copper_wire_cable,STRONG,0.82,Copper price and cable demand,copper pass-through / cable ASP / order evidence,1
Copper,1608,華榮,copper_wire_cable,STRONG,0.78,Copper price and cable demand,copper pass-through / cable ASP / order evidence,1
Copper,1605,華新,copper_and_metals,SECOND_ORDER,0.64,Metals pricing and downstream demand,segment mix / metal price sensitivity,1
Cybersecurity,3029,零壹,security_distribution,SECOND_ORDER,0.64,Enterprise security spending may transmit through channel demand,security product mix / vendor exposure / orders,1
Cybersecurity,6140,訊達,enterprise_it_channel,SECOND_ORDER,0.58,Enterprise IT/security spending may affect channel demand,security vendor mix / project orders,1
Biotech,6446,藥華藥,biopharma,SECOND_ORDER,0.55,Global biotech risk appetite is only a weak factor transmission,company-specific clinical/commercial evidence mandatory,1
Biotech,6472,保瑞,pharma_cdmo,SECOND_ORDER,0.55,Global biotech/pharma conditions are only a weak factor transmission,company-specific earnings / order evidence mandatory,1
Genomics,6446,藥華藥,biopharma,SPECULATIVE,0.30,Genomics ETF strength does not directly map to this company,company-specific evidence mandatory,1
Financials,2881,富邦金,financials,DIRECT,0.80,Financial conditions and capital-market cycle,rate / credit / investment income evidence,1
Financials,2882,國泰金,financials,DIRECT,0.80,Financial conditions and capital-market cycle,rate / credit / investment income evidence,1
Financials,2891,中信金,financials,DIRECT,0.80,Financial conditions and credit cycle,credit / NIM / fee-income evidence,1
Financials,2886,兆豐金,financials,DIRECT,0.78,Financial conditions and bank earnings cycle,NIM / credit / fee-income evidence,1
Consumer_Tech,2317,鴻海,electronics_manufacturing,SECOND_ORDER,0.62,Consumer electronics cycle may affect manufacturing demand,customer/product mix evidence required,1
Consumer_Tech,4938,和碩,electronics_manufacturing,SECOND_ORDER,0.62,Consumer electronics cycle may affect manufacturing demand,customer/product mix evidence required,1
