driver_id,driver_label,global_theme,driver_scope,driver_prior_weight,activation_evidence_required,counter_evidence_required,enabled
AI_SERVER_SHIPMENTS,AI server shipment / ODM cycle,AI_Server,"AI server units, rack shipments, ODM backlog; not generic AI enthusiasm",1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
AI_SERVER_RACK_BUILD,AI rack / server system buildout,AI_Server,rack/system/chassis buildout and product mix,1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
AI_SERVER_THERMAL_DENSITY,AI server thermal density / liquid cooling,AI_Server,"thermal density, liquid cooling adoption, cold plates, heat exchangers",1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
DATACENTER_COOLING_INFRA,Data-center cooling infrastructure capex,AI_Infrastructure,data-center cooling infrastructure capex,1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
DATACENTER_POWER_INFRA,Data-center power infrastructure capex,AI_Infrastructure,"UPS, power delivery, electrical infrastructure for data centers",1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
AI_NETWORKING_UPGRADE,800G/1.6T AI networking upgrade,AI_Networking,"800G/1.6T switch, optical/network bandwidth upgrade",1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
DRAM_PRICING,Commodity DRAM pricing / bit demand,Memory,"commodity DRAM ASP, bit demand, inventory; HBM must not be inferred automatically",1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
SPECIALTY_MEMORY_PRICING,Specialty DRAM / NOR / NAND pricing,Memory,specialty DRAM/NOR/NAND pricing and utilization,1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
MEMORY_IC_CYCLE,Memory IC design demand / ASP cycle,Memory,memory IC design revenue/ASP cycle,1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
NAND_STORAGE_CYCLE,NAND / storage controller and module cycle,Memory,"NAND pricing, SSD/controller/module demand and inventory",1.0,At least one time-consistent primary/official or high-quality source confirming this exact driver; distinguish company-specific vs industry-wide.,"Search for contradictory peer, pricing, demand, guidance, breadth or policy evidence; report UNKNOWN if unresolved.",1
LEADING_EDGE_FOUNDRY_AI_DEMAND,Leading-edge foundry AI/HPC node demand,Foundry,"leading-edge <=3nm/2nm utilization, AI/HPC wafer demand, advanced-node pricing and capacity; do not infer mature-node recovery",1.0,At least one time-consistent primary/official or high-quality source confirming leading-edge AI/HPC wafer demand or advanced-node utilization/pricing; distinguish company-specific from industry-wide.,"Search for contradictory advanced-node utilization, AI/HPC wafer demand, pricing, capacity or customer evidence; do not use mature-node recovery as confirmation; report UNKNOWN if unresolved.",1
