global_theme,taiwan_industry_pattern,linkage_type
AI_Server,電腦及週邊設備業|電子零組件業|其他電子業,same_end_market_or_supply_chain
AI_Infrastructure,電機機械|電器電纜|電子零組件業|其他電子業,data_center_infrastructure
AI_Networking,通信網路業|電腦及週邊設備業|電子零組件業,networking_supply_chain
AI_Semiconductor,半導體業,semiconductor_cycle
Semiconductor,半導體業,semiconductor_cycle
Analog_Semiconductor,半導體業|電子零組件業,analog_component_cycle
Memory,半導體業,memory_cycle
Foundry,半導體業,foundry_cycle
Semiconductor_Equipment,半導體業|其他電子業,semicap_cycle
MLCC,電子零組件業,passive_component_cycle
Electronic_Components,電子零組件業,electronic_component_cycle
Cybersecurity,資訊服務業|通信網路業,enterprise_security_demand
Software,資訊服務業,enterprise_software_demand
Software_AI,資訊服務業,enterprise_ai_software
Cloud_AI,資訊服務業|電腦及週邊設備業|通信網路業,cloud_capex
Power,電機機械|電器電纜,power_demand
Power_Grid,電機機械|電器電纜,grid_capex
Nuclear_Power,電機機械|電器電纜|其他電子業,power_capex_hypothesis
Shipping,航運業,freight_cycle
Biotech,生技醫療業,biotech_risk_appetite
Genomics,生技醫療業,biotech_risk_appetite
Pharma,生技醫療業,pharma_cycle
Financials,金融保險業,financial_conditions
Copper,鋼鐵工業|金屬製品業|電器電纜,industrial_metals
Industrials,電機機械|其他電子業|汽車工業,industrial_capex
Auto,汽車工業|電子零組件業,auto_cycle
EV,汽車工業|電子零組件業,ev_cycle
Energy,油電燃氣業|化學工業,energy_cycle
Defense,航運業|電機機械|其他電子業,defense_supply_chain_hypothesis
Consumer,貿易百貨|食品工業|觀光餐旅,consumer_cycle
Consumer_Tech,電子零組件業|電腦及週邊設備業,consumer_electronics
