driver_id,driver_label,global_theme,ticker,name,region,benchmark,peer_role
ACOUSTIC_COMPONENTS_DEMAND,Acoustic / audio component demand,Acoustic_Components,2018.HK,AAC Technologies,HK,^HSI,DIRECT_PEER
ACOUSTIC_COMPONENTS_DEMAND,Acoustic / audio component demand,Acoustic_Components,002241.SZ,Goertek,CN,000300.SS,DIRECT_PEER
ASIC_DESIGN_SERVICES,ASIC design-service / custom silicon demand,ASIC_Design,SNPS,Synopsys,US,SPY,DEMAND_CONTEXT
ASIC_DESIGN_SERVICES,ASIC design-service / custom silicon demand,ASIC_Design,CDNS,Cadence Design Systems,US,SPY,DEMAND_CONTEXT
AUTOMOTIVE_ELECTRONICS_CONTENT,Automotive electronics content cycle,Auto_Electronics,APTV,Aptiv,US,SPY,DIRECT_PEER
AUTOMOTIVE_ELECTRONICS_CONTENT,Automotive electronics content cycle,Auto_Electronics,MGA,Magna International,US,SPY,RELATED_PEER
AUTO_FINANCE_CREDIT_CYCLE,Auto / consumer finance credit cycle,Specialty_Finance,ALLY,Ally Financial,US,SPY,DIRECT_PEER
AUTO_FINANCE_CREDIT_CYCLE,Auto / consumer finance credit cycle,Specialty_Finance,CACC,Credit Acceptance,US,SPY,DIRECT_PEER
AUTO_LIGHTING_AFTERMARKET,Automotive lighting / aftermarket cycle,Auto_Lighting,7276.T,Koito Manufacturing,JP,^N225,DIRECT_PEER
AUTO_LIGHTING_AFTERMARKET,Automotive lighting / aftermarket cycle,Auto_Lighting,6923.T,Stanley Electric,JP,^N225,DIRECT_PEER
BIOLOGICS_CDMO_BIOSIMILAR,Biologics CDMO / biosimilar demand,Biologics_CDMO,207940.KS,Samsung Biologics,KR,^KS11,DIRECT_PEER
BIOLOGICS_CDMO_BIOSIMILAR,Biologics CDMO / biosimilar demand,Biologics_CDMO,2269.HK,WuXi Biologics,HK,^HSI,DIRECT_PEER
BIOTECH_CLINICAL_RISK,Biotech clinical-development risk appetite,Biotech,XBI,SPDR S&P Biotech ETF,US,SPY,SECTOR_BREADTH
BIOTECH_CLINICAL_RISK,Biotech clinical-development risk appetite,Biotech,IBB,iShares Biotechnology ETF,US,SPY,SECTOR_BREADTH
BNCT_RADIOTHERAPY_ADOPTION,BNCT / particle-radiotherapy adoption,Medtech_Radiotherapy,6302.T,Sumitomo Heavy Industries,JP,^N225,DIRECT_PEER
BNCT_RADIOTHERAPY_ADOPTION,BNCT / particle-radiotherapy adoption,Medtech_Radiotherapy,SHL.DE,Siemens Healthineers,EU,^STOXX,RELATED_PEER
CABLE_HARNESS_INTERCONNECT,Cable-harness / interconnect demand,Interconnect,APH,Amphenol,US,SPY,DIRECT_PEER
CABLE_HARNESS_INTERCONNECT,Cable-harness / interconnect demand,Interconnect,TEL,TE Connectivity,US,SPY,DIRECT_PEER
CAPITAL_MARKETS_ACTIVITY,Capital-markets / brokerage activity,Capital_Markets,IBKR,Interactive Brokers,US,SPY,DIRECT_PEER
CAPITAL_MARKETS_ACTIVITY,Capital-markets / brokerage activity,Capital_Markets,SCHW,Charles Schwab,US,SPY,DIRECT_PEER
