run_id,driver_id,driver_label,global_theme,taiwan_code,taiwan_name_seed,economic_role,linkage_tier,linkage_confidence,polarity,link_mechanism,evidence_required,edge_status,provenance_status,review_after,enabled,mapping_layer,review_after_parsed,review_overdue,missing_provenance,duplicate_edge
20260919T131926+0800-ad2c247a,AI_SERVER_SHIPMENTS,AI server shipment / ODM cycle,AI_Server,2382,廣達,server_odm,DIRECT,0.95,POSITIVE,AI server ODM demand and shipment cycle,customer mix / server backlog / shipment evidence,SEED,NEEDS_SOURCE_BACKFILL,2026-12-31,1,THESIS,2026-12-31,False,True,False
20260919T131926+0800-ad2c247a,AI_SERVER_SHIPMENTS,AI server shipment / ODM cycle,AI_Server,3231,緯創,server_odm,DIRECT,0.95,POSITIVE,AI server ODM demand and shipment cycle,customer mix / server backlog / shipment evidence,SEED,NEEDS_SOURCE_BACKFILL,2026-12-31,1,THESIS,2026-12-31,False,True,False
20260919T131926+0800-ad2c247a,AI_SERVER_SHIPMENTS,AI server shipment / ODM cycle,AI_Server,6669,緯穎,server_odm,DIRECT,0.98,POSITIVE,Hyperscale AI server demand and rack-level deployments,customer capex / backlog / shipment evidence,SEED,NEEDS_SOURCE_BACKFILL,2026-12-31,1,THESIS,2026-12-31,False,True,False
20260919T131926+0800-ad2c247a,AI_SERVER_SHIPMENTS,AI server shipment / ODM cycle,AI_Server,2317,鴻海,server_odm_and_manufacturing,STRONG,0.88,POSITIVE,AI server manufacturing and rack integration,AI server revenue / customer programs,SEED,NEEDS_SOURCE_BACKFILL,2026-12-31,1,THESIS,2026-12-31,False,True,False
20260919T131926+0800-ad2c247a,AI_SERVER_SHIPMENTS,AI server shipment / ODM cycle,AI_Server,2356,英業達,server_odm,STRONG,0.82,POSITIVE,Server ODM demand transmission,AI server mix / orders / shipments,SEED,NEEDS_SOURCE_BACKFILL,2026-12-31,1,THESIS,2026-12-31,False,True,False
20260919T131926+0800-ad2c247a,AI_SERVER_RACK_BUILD,AI rack / server system buildout,AI_Server,2376,技嘉,server_systems,STRONG,0.82,POSITIVE,Enterprise and AI server systems,server product mix / revenue contribution,SEED,NEEDS_SOURCE_BACKFILL,2026-12-31,1,THESIS,2026-12-31,False,True,False
20260919T131926+0800-ad2c247a,AI_SERVER_RACK_BUILD,AI rack / server system buildout,AI_Server,3693,營邦,server_chassis,STRONG,0.78,POSITIVE,Server chassis and rack infrastructure demand,AI server customer / product evidence,SEED,NEEDS_SOURCE_BACKFILL,2026-12-31,1,THESIS,2026-12-31,False,True,False
20260919T131926+0800-ad2c247a,AI_SERVER_THERMAL_DENSITY,AI server thermal density / liquid cooling,AI_Server,3017,奇鋐,thermal_management,STRONG,0.82,POSITIVE,AI server thermal density drives cooling demand,AI cooling revenue / customer programs,SEED,NEEDS_SOURCE_BACKFILL,2026-12-31,1,THESIS,2026-12-31,False,True,False
20260919T131926+0800-ad2c247a,AI_SERVER_THERMAL_DENSITY,AI server thermal density / liquid cooling,AI_Server,3324,雙鴻,thermal_management,STRONG,0.82,POSITIVE,AI server thermal density drives cooling demand,liquid cooling / server revenue evidence,SEED,NEEDS_SOURCE_BACKFILL,2026-12-31,1,THESIS,2026-12-31,False,True,False
20260919T131926+0800-ad2c247a,AI_SERVER_THERMAL_DENSITY,AI server thermal density / liquid cooling,AI_Server,6230,尼得科超眾,thermal_management,STRONG,0.76,POSITIVE,Server thermal management demand,server cooling revenue evidence,SEED,NEEDS_SOURCE_BACKFILL,2026-12-31,1,THESIS,2026-12-31,False,True,False
20260919T131926+0800-ad2c247a,AI_SERVER_THERMAL_DENSITY,AI server thermal density / liquid cooling,AI_Server,8996,高力,liquid_cooling_heat_exchange,STRONG,0.78,POSITIVE,AI liquid cooling heat-exchanger demand,AI data-center cooling orders,SEED,NEEDS_SOURCE_BACKFILL,2026-12-31,1,THESIS,2026-12-31,False,True,False
20260919T131926+0800-ad2c247a,DATACENTER_COOLING_INFRA,Data-center cooling infrastructure capex,AI_Infrastructure,3017,奇鋐,thermal_management,STRONG,0.8,POSITIVE,Data-center thermal infrastructure,AI cooling revenue / order evidence,SEED,NEEDS_SOURCE_BACKFILL,2026-12-31,1,THESIS,2026-12-31,False,True,False
20260919T131926+0800-ad2c247a,DATACENTER_COOLING_INFRA,Data-center cooling infrastructure capex,AI_Infrastructure,3324,雙鴻,thermal_management,STRONG,0.8,POSITIVE,Data-center thermal infrastructure,liquid cooling / server revenue evidence,SEED,NEEDS_SOURCE_BACKFILL,2026-12-31,1,THESIS,2026-12-31,False,True,False
20260919T131926+0800-ad2c247a,DATACENTER_COOLING_INFRA,Data-center cooling infrastructure capex,AI_Infrastructure,8996,高力,liquid_cooling_heat_exchange,STRONG,0.82,POSITIVE,Data-center heat exchange and liquid cooling,AI data-center cooling orders,SEED,NEEDS_SOURCE_BACKFILL,2026-12-31,1,THESIS,2026-12-31,False,True,False
