code,name,economic_subindustry,primary_driver_id,secondary_driver_ids,classification_confidence,notes
7799,禾榮科,BNCT_Radiotherapy,BNCT_RADIOTHERAPY_ADOPTION,,HIGH,Accelerator-based BNCT cancer radiotherapy; treatment-center adoption and clinical utilization matter.
6706,惠特,Optoelectronic_Semicap_Test,OPTO_TEST_EQUIPMENT_CYCLE,ADVANCED_PACKAGING_TEST_CAPEX,HIGH,LED/MicroLED/VCSEL/silicon-photonics and semiconductor test equipment; use equipment capex context.
2254,巨鎧精密-創,Automotive_Aftermarket_Lighting,AUTO_LIGHTING_AFTERMARKET,,HIGH,Aftermarket LED automotive head/tail lamps; North American aftermarket demand and lighting peers are direct context.
6957,裕慶-KY,Commercial_Fixtures_Smart_Bed,RETAIL_FIXTURE_SMART_BED_DEMAND,,MEDIUM,Commercial display fixtures plus smart/electric-bed mechanisms; peer basket is mixed demand context.
3311,閎暉,Precision_HMI_Auto_Components,HMI_SENSOR_COMPONENTS,,MEDIUM,Precision HMI and automotive electronic components; use component peers as context and verify customer mix.
4915,致伸,EdgeAI_Multisensor_ODM,EDGE_AI_SENSOR_ODM,,MEDIUM,Vision/acoustics/HMI and edge-AI ODM; global ODM/sensor peers are context and product mix is mandatory.
1709,和益,Petrochemical_Intermediates,SPECIALTY_CHEMICALS_CYCLE,,HIGH,Surfactant/petrochemical intermediates; specialty-chemical spreads and end demand are the relevant global context.
3094,聯傑,Ethernet_Controller_IC,CONNECTIVITY_INTERFACE_IC_CYCLE,,HIGH,Ethernet controller/interface IC exposure; use connectivity semiconductor peers rather than broad SOX.
2412,中華電,Telecom_Operator,TELECOM_OPERATOR_ARPU_5G,,MEDIUM,Telecom operator; ARPU subscriber mix enterprise/cloud and capex are primary local checks.
3045,台灣大,Telecom_Operator,TELECOM_OPERATOR_ARPU_5G,,MEDIUM,Telecom operator; ARPU subscriber mix and service monetization dominate.
6168,宏齊,LED_Packaging,LED_COMPONENT_CYCLE,,HIGH,LED package/component exposure; global LED component cycle is direct context.
2471,資通,Enterprise_Software_SI,ENTERPRISE_IT_SPEND,,MEDIUM,Enterprise software and system integration; overseas IT-services peers are demand context only.
2453,凌群,Enterprise_IT_SI,ENTERPRISE_IT_SPEND,,MEDIUM,Enterprise IT/system integration; local project backlog and government/enterprise spending remain primary.
3066,李洲,LED_Components_EMS,LED_COMPONENT_CYCLE,,HIGH,LED display/components/lighting plus EMS; LED cycle is the primary international context.
2340,台亞,LED_Sensor_Semiconductor,LED_COMPONENT_CYCLE,,HIGH,LED epitaxy/chip and sensing semiconductor exposure; monitor global LED/opto component peers.
6227,茂綸,Semiconductor_Distribution,SEMICONDUCTOR_DISTRIBUTION_CYCLE,,MEDIUM,Semiconductor distributor; vendor inventory/channel cycle is the main transmission.
9933,中鼎,Global_EPC_Engineering,ENGINEERING_EPC_CAPEX,,HIGH,Global EPC/engineering contractor; energy/infrastructure project capex and backlog are key.
6133,金橋,Cable_Harness_Interconnect,CABLE_HARNESS_INTERCONNECT,,MEDIUM,Cable/harness interconnect exposure; end-market and customer mix require validation.
2427,三商電,Enterprise_IT_SI,ENTERPRISE_IT_SPEND,,MEDIUM,Enterprise IT/payment/system integration; local project mix remains primary.
6199,天品,Funeral_Services_Holding,FUNERAL_SERVICES_CYCLE,DATACENTER_COOLING_INFRA,LOW,Diversified holding with funeral-related exposure and other businesses; overseas funeral peers are context only.
3580,友威科,PVD_Etch_Equipment,WAFER_FAB_EQUIPMENT_CAPEX,,HIGH,PVD/etch and semiconductor equipment exposure; fab-equipment capex and orders are direct context.
2905,三商,Retail_Restaurant_Holding,RESTAURANT_RETAIL_CONSUMER,,LOW,Diversified retail/restaurant holding; overseas consumer peers are only broad demand context.
